subject, block, trial, mu1, mu2, choice, reward, RT, cond 
1,10.0,1.0,0.0,17.0,2.0,17.0,1238.84391785,4
1,10.0,2.0,0.0,17.0,1.0,0.0,370.928049088,4
1,10.0,3.0,0.0,17.0,2.0,17.0,370.847940445,4
1,10.0,4.0,0.0,17.0,2.0,17.0,387.614011765,4
1,10.0,5.0,0.0,17.0,2.0,17.0,370.820999146,4
1,10.0,6.0,0.0,17.0,2.0,17.0,1083.42289925,4
1,10.0,7.0,0.0,17.0,2.0,17.0,404.053926468,4
1,10.0,8.0,0.0,17.0,2.0,17.0,420.647144318,4
1,10.0,9.0,0.0,17.0,2.0,17.0,587.314844131,4
1,10.0,10.0,0.0,17.0,2.0,17.0,370.99981308,4
1,11.0,1.0,-1.0,-10.0,1.0,1.0,489.357948303,3
1,11.0,2.0,-1.0,-10.0,1.0,1.0,354.225158691,3
1,11.0,3.0,-1.0,-10.0,2.0,-11.0,337.46099472,3
1,11.0,4.0,-1.0,-10.0,1.0,4.0,387.542009354,3
1,11.0,5.0,-1.0,-10.0,1.0,-7.0,354.432106018,3
1,11.0,6.0,-1.0,-10.0,1.0,-4.0,354.25901413,3
1,11.0,7.0,-1.0,-10.0,2.0,-12.0,420.977115631,3
1,11.0,8.0,-1.0,-10.0,1.0,-2.0,333.950996399,3
1,11.0,9.0,-1.0,-10.0,1.0,-0.0,337.079048157,3
1,11.0,10.0,-1.0,-10.0,1.0,2.0,352.558851242,3
1,12.0,1.0,13.0,-0.0,2.0,-0.0,1538.87081146,1
1,12.0,2.0,13.0,-0.0,1.0,17.0,387.490987778,1
1,12.0,3.0,13.0,-0.0,1.0,11.0,339.069128036,1
1,12.0,4.0,13.0,-0.0,1.0,9.0,337.462186813,1
1,12.0,5.0,13.0,-0.0,1.0,18.0,354.783058167,1
1,12.0,6.0,13.0,-0.0,1.0,17.0,283.6561203,1
1,12.0,7.0,13.0,-0.0,1.0,14.0,287.809848785,1
1,12.0,8.0,13.0,-0.0,1.0,9.0,454.123020172,1
1,12.0,9.0,13.0,-0.0,1.0,13.0,837.428092957,1
1,12.0,10.0,13.0,-0.0,1.0,8.0,620.966911316,1
1,13.0,1.0,-6.0,-16.0,2.0,-16.0,968.742847443,1
1,13.0,2.0,-6.0,-16.0,1.0,-6.0,520.943880081,1
1,13.0,3.0,-6.0,-16.0,1.0,3.0,471.032857895,1
1,13.0,4.0,-6.0,-16.0,1.0,-12.0,387.455940247,1
1,13.0,5.0,-6.0,-16.0,1.0,-3.0,400.356054306,1
1,13.0,6.0,-6.0,-16.0,1.0,-4.0,403.558015823,1
1,13.0,7.0,-6.0,-16.0,1.0,-9.0,620.828151703,1
1,13.0,8.0,-6.0,-16.0,1.0,-1.0,537.025928497,1
1,13.0,9.0,-6.0,-16.0,1.0,-14.0,554.151058197,1
1,13.0,10.0,-6.0,-16.0,1.0,-7.0,374.979019165,1
1,14.0,1.0,-6.0,-1.0,1.0,-5.0,1404.68406677,3
1,14.0,2.0,-6.0,-1.0,1.0,-10.0,471.229791641,3
1,14.0,3.0,-6.0,-1.0,2.0,7.0,469.240903854,3
1,14.0,4.0,-6.0,-1.0,2.0,-2.0,437.618970871,3
1,14.0,5.0,-6.0,-1.0,2.0,7.0,517.093896866,3
1,14.0,6.0,-6.0,-1.0,2.0,6.0,504.330158234,3
1,14.0,7.0,-6.0,-1.0,2.0,-3.0,404.152870178,3
1,14.0,8.0,-6.0,-1.0,2.0,3.0,420.736074448,3
1,14.0,9.0,-6.0,-1.0,2.0,-3.0,335.88719368,3
1,14.0,10.0,-6.0,-1.0,2.0,4.0,437.516212463,3
1,15.0,1.0,4.0,3.0,1.0,4.0,622.07198143,4
1,15.0,2.0,4.0,3.0,2.0,3.0,354.159116745,4
1,15.0,3.0,4.0,3.0,1.0,4.0,487.689971924,4
1,15.0,4.0,4.0,3.0,1.0,4.0,354.58111763,4
1,15.0,5.0,4.0,3.0,1.0,4.0,454.061985016,4
1,15.0,6.0,4.0,3.0,1.0,4.0,667.055130005,4
1,15.0,7.0,4.0,3.0,1.0,4.0,337.600946426,4
1,15.0,8.0,4.0,3.0,1.0,4.0,387.752056122,4
1,15.0,9.0,4.0,3.0,1.0,4.0,520.596027374,4
1,15.0,10.0,4.0,3.0,1.0,4.0,654.114961624,4
1,16.0,1.0,20.0,-12.0,1.0,20.0,1255.43212891,2
1,16.0,2.0,20.0,-12.0,1.0,20.0,537.140846252,2
1,16.0,3.0,20.0,-12.0,2.0,-8.0,537.582159042,2
1,16.0,4.0,20.0,-12.0,1.0,20.0,437.605142593,2
1,16.0,5.0,20.0,-12.0,1.0,20.0,370.751857758,2
1,16.0,6.0,20.0,-12.0,1.0,20.0,354.320049286,2
1,16.0,7.0,20.0,-12.0,1.0,20.0,402.507066727,2
1,16.0,8.0,20.0,-12.0,1.0,20.0,337.84198761,2
1,16.0,9.0,20.0,-12.0,1.0,20.0,353.73711586,2
1,16.0,10.0,20.0,-12.0,1.0,20.0,470.811843872,2
1,17.0,1.0,12.0,5.0,1.0,12.0,1154.81591225,2
1,17.0,2.0,12.0,5.0,2.0,13.0,407.871961594,2
1,17.0,3.0,12.0,5.0,2.0,6.0,383.801937103,2
1,17.0,4.0,12.0,5.0,1.0,12.0,354.325056076,2
1,17.0,5.0,12.0,5.0,1.0,12.0,504.181146622,2
1,17.0,6.0,12.0,5.0,1.0,12.0,487.061977386,2
1,17.0,7.0,12.0,5.0,1.0,12.0,371.054887772,2
1,17.0,8.0,12.0,5.0,1.0,12.0,454.439163208,2
1,17.0,9.0,12.0,5.0,1.0,12.0,452.605962753,2
1,17.0,10.0,12.0,5.0,1.0,12.0,704.144954681,2
1,18.0,1.0,-22.0,2.0,2.0,2.0,1201.38382912,1
1,18.0,2.0,-22.0,2.0,1.0,-22.0,304.527044296,1
1,18.0,3.0,-22.0,2.0,2.0,2.0,487.44893074,1
1,18.0,4.0,-22.0,2.0,2.0,2.0,438.050985336,1
1,18.0,5.0,-22.0,2.0,2.0,2.0,404.448986053,1
1,18.0,6.0,-22.0,2.0,2.0,2.0,537.580966949,1
1,18.0,7.0,-22.0,2.0,2.0,2.0,487.631082535,1
1,18.0,8.0,-22.0,2.0,2.0,2.0,453.758001328,1
1,18.0,9.0,-22.0,2.0,2.0,2.0,371.245145798,1
1,18.0,10.0,-22.0,2.0,2.0,2.0,552.449941635,1
1,19.0,1.0,5.0,11.0,1.0,7.0,938.918828964,3
1,19.0,2.0,5.0,11.0,2.0,13.0,437.073945999,3
1,19.0,3.0,5.0,11.0,2.0,8.0,371.120929718,3
1,19.0,4.0,5.0,11.0,2.0,9.0,420.922994614,3
1,19.0,5.0,5.0,11.0,2.0,20.0,535.746097565,3
1,19.0,6.0,5.0,11.0,2.0,8.0,454.399824142,3
1,19.0,7.0,5.0,11.0,2.0,4.0,537.088155746,3
1,19.0,8.0,5.0,11.0,2.0,11.0,421.095848083,3
1,19.0,9.0,5.0,11.0,2.0,4.0,404.635906219,3
1,19.0,10.0,5.0,11.0,2.0,11.0,354.324102402,3
1,20.0,1.0,-12.0,-12.0,1.0,-12.0,1138.87691498,4
1,20.0,2.0,-12.0,-12.0,2.0,-12.0,355.222940445,4
1,20.0,3.0,-12.0,-12.0,1.0,-12.0,566.98012352,4
1,20.0,4.0,-12.0,-12.0,2.0,-12.0,852.481126785,4
1,20.0,5.0,-12.0,-12.0,2.0,-12.0,483.674049377,4
1,20.0,6.0,-12.0,-12.0,2.0,-12.0,417.109012604,4
1,20.0,7.0,-12.0,-12.0,2.0,-12.0,520.934820175,4
1,20.0,8.0,-12.0,-12.0,2.0,-12.0,354.066133499,4
1,20.0,9.0,-12.0,-12.0,2.0,-12.0,470.851898193,4
1,20.0,10.0,-12.0,-12.0,2.0,-12.0,365.477085114,4
1,21.0,1.0,2.0,6.0,1.0,2.0,1068.1219101,2
1,21.0,2.0,2.0,6.0,2.0,2.0,370.959997177,2
1,21.0,3.0,2.0,6.0,2.0,4.0,404.266834259,2
1,21.0,4.0,2.0,6.0,2.0,8.0,320.554971695,2
1,21.0,5.0,2.0,6.0,2.0,-0.0,404.193162918,2
1,21.0,6.0,2.0,6.0,2.0,6.0,371.365070343,2
1,21.0,7.0,2.0,6.0,2.0,2.0,350.292921066,2
1,21.0,8.0,2.0,6.0,2.0,11.0,421.106100082,2
1,21.0,9.0,2.0,6.0,2.0,2.0,404.191017151,2
1,21.0,10.0,2.0,6.0,2.0,7.0,470.753908157,2
1,22.0,1.0,6.0,4.0,1.0,9.0,935.034990311,1
1,22.0,2.0,6.0,4.0,2.0,4.0,421.078920364,1
1,22.0,3.0,6.0,4.0,1.0,4.0,337.626934052,1
1,22.0,4.0,6.0,4.0,1.0,11.0,500.320911407,1
1,22.0,5.0,6.0,4.0,1.0,8.0,370.934009552,1
1,22.0,6.0,6.0,4.0,1.0,8.0,320.907115936,1
1,22.0,7.0,6.0,4.0,1.0,3.0,604.380846024,1
1,22.0,8.0,6.0,4.0,1.0,-2.0,500.438928604,1
1,22.0,9.0,6.0,4.0,1.0,5.0,421.08297348,1
